Start_Time,End_Time,PROGRAM/AD/SONGS,TIMELINE
07:50:06,07:50:11,JINGLE: RADIO CITY,07:50:06-07:50:11
07:50:11,07:51:13,"AD: RADIO CITY, PONMALAI POZHUDHU SHOW, RADIO, ENTERTAINMENT",07:50:11-07:51:13
07:51:13,07:51:18,"AD: ASTRA HEARING CARE, HEARING DIAGNOSTICS, SERVICE-MEDICAL, HEALTHCARE",07:51:13-07:51:18
07:51:18,07:51:22,JINGLE: RADIO CITY,07:51:18-07:51:22
07:51:22,07:51:33,"AD: KINGMAKERS IAS ACADEMY, COACHING INSTITUTE, COACHING SERVICES, EDUCATION",07:51:22-07:51:33
07:51:33,07:52:13,"AD: APOLLO HOSPITAL, MULTISPECIALITY HOSPITAL, SERVICE-MEDICAL, HEALTHCARE",07:51:33-07:52:13
07:52:13,07:52:33,"AD: MALABAR GOLD AND DIAMONDS, GOLD & DIAMOND JEWELLERY, ACCESSORIES-JEWELLERY, ACCESSORIES",07:52:13-07:52:33
07:52:33,07:52:43,"AD: GALAXY HEALTH INSURANCE, HEALTH- INSURANCE, FINANCE-INSURANCE, FINANCE",07:52:33-07:52:43
07:52:43,07:53:08,"AD: DEEPAM, INCENSE STICKS, SPIRITUAL ESSENTIALS, HOME FURNISHING",07:52:43-07:53:08
07:53:08,07:53:30,"AD: LAKSHMI CERAMIC, CERAMIC TILES, BUILDING MATERIALS, CONSTRUCTIONS",07:53:08-07:53:30
07:53:30,07:53:45,"AD: ANUJ TILES, CERAMIC TILES, BUILDING MATERIALS, CONSTRUCTIONS",07:53:30-07:53:45
07:53:45,07:54:01,"AD: THE EYE FOUNDATION, EYE CARE HOSPITAL, SERVICES - MEDICAL, HEALTHCARE",07:53:45-07:54:01
07:54:01,07:54:06,JINGLE: RADIO CITY,07:54:01-07:54:06
07:54:06,07:54:22,"AD: RADIO CITY, BUSINESS TITANS, RADIO, ENTERTAINMENT",07:54:06-07:54:22
07:54:22,07:54:30,JINGLE: RADIO CITY,07:54:22-07:54:30
07:54:30,07:54:41,JINGLE: FIRE SONG INTRO,07:54:30-07:54:41
07:54:41,07:57:52,"SONG: FIRE SONG, SENTHIL GANESH & SHENBAGARAJ & DEEPTHI SURESH & VM MAHALINGAM & DSP & VIVEKA, KANGUVA, SAREGAMA INDIA LTD, 2024, TAMIL",07:54:41-07:57:52
07:57:52,07:57:57,JINGLE: SPONSOR JINGLE,07:57:52-07:57:57
07:57:57,07:58:02,"AD: VGN RICHMOND TOWERS, REAL ESTATE PROJECTS, PROPERTY-HOUSING, PROPERTY",07:57:57-07:58:02
07:58:02,07:58:07,"AD: DAVA INDIA, GENERIC PHARMACY, PHARMACEUTICALS, HEALTHCARE",07:58:02-07:58:07
07:58:07,07:58:13,"AD: THE EYE FOUNDATION, EYE CARE HOSPITAL, SERVICES - MEDICAL, HEALTHCARE",07:58:07-07:58:13
07:58:13,07:58:18,"AD: DEEPAM, INCENSE STICKS, SPIRITUAL ESSENTIALS, HOME FURNISHING",07:58:13-07:58:18
07:58:18,07:58:23,"AD: KINGMAKERS IAS ACADEMY, COACHING INSTITUTE, COACHING SERVICES, EDUCATION",07:58:18-07:58:23
07:58:23,07:58:28,"AD: ASTRA HEARING CARE, HEARING DIAGNOSTICS, SERVICE-MEDICAL, HEALTHCARE",07:58:23-07:58:28
07:58:28,07:58:33,JINGLE: RADIO CITY,07:58:28-07:58:33
07:58:33,07:58:41,JINGLE: RADIO CITY,07:58:33-07:58:41
07:58:41,07:59:17,"AD: AVR SWARNA MAHAL, GOLD AND DIAMOND JEWELLERY, ACCESSORIES - JEWELLERY, ACCESSORIES",07:58:41-07:59:17
07:59:17,07:59:33,"AD: THE EYE FOUNDATION, EYE CARE HOSPITAL, SERVICES - MEDICAL, HEALTHCARE",07:59:17-07:59:33
07:59:33,07:59:59,"AD: APOLLO HOSPITAL, MULTISPECIALITY HOSPITAL, SERVICE-MEDICAL, HEALTHCARE",07:59:33-07:59:59
08:00:00,08:00:14,"AD: APOLLO HOSPITAL, MULTISPECIALITY HOSPITAL, SERVICE-MEDICAL, HEALTHCARE",08:00:00-08:00:14
08:00:14,08:00:43,"AD: RESERVE BANK OF INDIA (RBI), BANKING SERVICES, BANKING & FINANCE, FINANCE",08:00:14-08:00:43
08:00:43,08:01:04,"AD: MALABAR GOLD AND DIAMONDS, GOLD & DIAMOND JEWELLERY, ACCESSORIES-JEWELLERY, ACCESSORIES",08:00:43-08:01:04
08:01:04,08:01:14,"AD: KINGMAKERS IAS ACADEMY, COACHING INSTITUTE, COACHING SERVICES, EDUCATION",08:01:04-08:01:14
08:01:14,08:02:00,"AD: FSSAI, EAT RIGHT INDIA, PUBLIC SERVICE ADS, PUBLIC INTEREST",08:01:14-08:02:00
08:02:00,08:02:25,"AD: DEEPAM, INCENSE STICKS, SPIRITUAL ESSENTIALS, HOME FURNISHING",08:02:00-08:02:25
08:02:25,08:02:40,"AD: JOYALUKKAS, GOLD & DIAMOND JEWELLERY, ACCESSORIES-JEWELLERY, ACCESSORIES",08:02:25-08:02:40
08:02:40,08:02:44,JINGLE: RADIO CITY,08:02:40-08:02:44
08:02:44,08:03:38,JINGLE: RADIO CITY 91.1 FM SONG,08:02:44-08:03:38
08:03:38,08:03:42,JINGLE: RADIO CITY,08:03:38-08:03:42
08:03:42,08:03:53,JINGLE: KANNE KANAVE SONG INTRO,08:03:42-08:03:53
08:03:53,08:07:51,"SONG: KANNE KANAVE, SREEKANTH HARIHARAN & SIREESHA BHAGAVATULA, DNA, THINK MUSIC INDIA, 2024, TAMIL",08:03:53-08:07:51
08:07:51,08:08:00,JINGLE: RADIO CITY,08:07:51-08:08:00
08:08:00,08:09:34,"PROGRAM: THAMIZHODU VILAIYADU, RJ BHARATH",08:08:00-08:09:34
08:09:34,08:09:42,JINGLE: CHOLA CHOLA SONG INTRO,08:09:34-08:09:42
08:09:42,08:12:45,"SONG: CHOLA CHOLA, SATHYA PRAKASH & V.M. MAHALINGAM & NAKUL ABHYANKAR, PONNIYIN SELVAN PART 1, TIPS MUSIC / LYCA PRODUCTIONS, 2022, TAMIL",08:09:42-08:12:45
08:12:45,08:14:25,"PROGRAM: PART 2 PREM KUMAR, RJ PREM KUMAR",08:12:45-08:14:25
08:14:25,08:14:31,JINGLE: RADIO CITY,08:14:25-08:14:31
08:14:31,08:14:38,"AD: FRESHEY'S, CURD, FOOD PRODUCTS, FMCG",08:14:31-08:14:38
08:14:38,08:14:43,"AD: MANASA, PICKLES, FOOD PRODUCTS, FMCG",08:14:38-08:14:43
08:14:43,08:14:50,"AD: RR MOBILES, SMARTPHONE, CONSUMER DURABLES-SMARTPHONE, COSUMER DURABLES",08:14:43-08:14:50
08:14:50,08:14:54,JINGLE: RADIO CITY,08:14:50-08:14:54
08:14:54,08:15:02,JINGLE: RADIO CITY,08:14:54-08:15:02
08:15:02,08:15:43,"AD: RADIO CITY, BUSINESS TITANS, RADIO, ENTERTAINMENT",08:15:02-08:15:43
08:15:43,08:16:13,"AD: RAINBOW CHILDREN'S HOSPITAL AND BIRTHRIGHT, HOSPITAL SERVICES, SERVICES-MEDICAL, HEALTHCARE",08:15:43-08:16:13
08:16:13,08:16:48,"AD: LIC, LIC POLICY, FINANCE-INSURANCE, FINANCE",08:16:13-08:16:48
08:16:48,08:17:09,"AD: DR.MGR JANAKI COLLEGE OF ARTS AND SCIENCE, UG & PG COURSES, HIGHER EDUCATION, EDUCATION",08:16:48-08:17:09
08:17:09,08:17:25,"AD: THE EYE FOUNDATION, EYE CARE HOSPITAL, SERVICES - MEDICAL, HEALTHCARE",08:17:09-08:17:25
08:17:25,08:17:45,"AD: MALABAR GOLD AND DIAMONDS, GOLD & DIAMOND JEWELLERY, ACCESSORIES-JEWELLERY, ACCESSORIES",08:17:25-08:17:45
08:17:45,08:17:55,"AD: SA COLLEGE OF ARTS & SCIENCE, UG & PG COURSES, HIGHER EDUCATION, EDUCATION",08:17:45-08:17:55
08:17:55,08:18:15,"AD: LAKSHMI CERAMIC, CERAMIC TILES, BUILDING MATERIALS, CONSTRUCTIONS",08:17:55-08:18:15
08:18:15,08:18:36,"AD: ICAI CAMPUS, COACHING SERVICES, COACHING SERVICES, EDUCATION",08:18:15-08:18:36
08:18:36,08:19:21,"AD: CANARA BANK, BANKING SERVICES, BANKING & FINANCE, FINANCE",08:18:36-08:19:21
08:19:21,08:19:32,"AD: KINGMAKERS IAS ACADEMY, COACHING INSTITUTE, COACHING SERVICES, EDUCATION",08:19:21-08:19:32
08:19:32,08:19:58,"AD: RADIO CITY, BUSINESS TITANS, RADIO, ENTERTAINMENT",08:19:32-08:19:58
08:19:58,08:20:04,JINGLE: RADIO CITY TRAFFIC UPDATE,08:19:58-08:20:04
08:20:04,08:20:12,"AD: CANARA BANK, BANKING SERVICES, BANKING & FINANCE, FINANCE",08:20:04-08:20:12
08:20:12,08:20:17,"AD: ASTRA HEARING CARE, HEARING DIAGNOSTICS, SERVICE-MEDICAL, HEALTHCARE",08:20:12-08:20:17
08:20:17,08:20:25,"AD: FRESHEY'S, PANEER, FOOD PRODUCTS, FMCG",08:20:17-08:20:25
08:20:25,08:20:30,"AD: MANASA, SPICES, FOOD PRODUCTS, FMCG",08:20:25-08:20:30
08:20:30,08:20:34,JINGLE: RADIO CITY,08:20:30-08:20:34
08:20:34,08:20:39,JINGLE: RADIO CITY TRAFFIC UPDATE,08:20:34-08:20:39
08:20:39,08:20:58,"PROGRAM: TRAFFIC UPDATE, RJ BHARATH",08:20:39-08:20:58
08:20:58,08:21:05,JINGLE: HUNTER VANTAAR SONG INTRO,08:20:58-08:21:05
08:21:05,08:24:03,"SONG: HUNTER VANTAAR, ANIRUDH RAVICHANDER & SIDDHARTH BASRUR & ARIVU, VETTAIYAN, SONY MUSIC ENTERTAINMENT INDIA PVT LTD, 2024, TAMIL",08:21:05-08:24:03
08:24:03,08:24:11,JINGLE: RADIO CITY,08:24:03-08:24:11
08:24:11,08:24:19,JINGLE: POTTALA MUTTAYE SONG INTRO,08:24:11-08:24:19
08:24:19,08:27:55,"SONG: POTTALA MUTTAYE, SANTHOSH NARAYANAN & SUBLAHSHINI, THALAIVAN THALAIVII, SATHYA JYOTHI FILMS, 2025, TAMIL",08:24:19-08:27:55
08:27:55,08:27:58,JINGLE: RADIO CITY,08:27:55-08:27:58
08:27:58,08:29:38,"PROGRAM: THAMIZHODU VILAIYADU, RJ BHARATH",08:27:58-08:29:38
08:29:38,08:29:46,JINGLE: RADIO CITY,08:29:38-08:29:46
08:29:46,08:30:48,"AD: RADIO CITY, PONMALAI POZHUDHU SHOW, RADIO, ENTERTAINMENT",08:29:46-08:30:48
08:30:48,08:30:53,"AD: ASTRA HEARING CARE, HEARING DIAGNOSTICS, SERVICE-MEDICAL, HEALTHCARE",08:30:48-08:30:53
08:30:53,08:30:58,JINGLE: RADIO CITY,08:30:53-08:30:58
08:30:58,08:31:08,"AD: PRASHANTH HOSPITALS, HOSPITAL SERVICES, SERVICES-MEDICAL, HEALTHCARE",08:30:58-08:31:08
08:31:08,08:31:43,"AD: AVR SWARNA MAHAL, GOLD AND DIAMOND JEWELLERY, ACCESSORIES - JEWELLERY, ACCESSORIES",08:31:08-08:31:43
08:31:43,08:31:54,"AD: SA COLLEGE OF ARTS & SCIENCE, UG & PG COURSES, HIGHER EDUCATION, EDUCATION",08:31:43-08:31:54
08:31:54,08:32:35,"AD: LIC AGENT JOB, JOB OPPORTUNITY - INSURANCE AGENT, PUBLIC SERVICES AD, PUBLIC INTEREST",08:31:54-08:32:35
